4 bytes, cycles=2047.16168, time=639.738025, tpt=5.9629053089739354
16 bytes, cycles=2102.78237, time=657.1194906249999, tpt=23.22072207596072
64 bytes, cycles=2622.48006, time=819.52501875, tpt=74.47625740956063
256 bytes, cycles=6956.98141, time=2174.056690625, tpt=112.29726715627373
1024 bytes, cycles=27800.93263, time=8687.791446874999, tpt=112.40630095365258
4096 bytes, cycles=112732.12057, time=35228.787678124994, tpt=110.88232827340667
65536 bytes, cycles=1779943.86074, time=556232.4564812499, tpt=112.36309437133109
262144 bytes, cycles=7119674.92779, time=2224898.414934375, tpt=112.36468070717464
524288 bytes, cycles=14244594.59026, time=4451435.80945625, tpt=112.32330901814706
