4 bytes, cycles=8941.01659, time=2794.0676843749998, tpt=1.3652844871860372
16 bytes, cycles=6788.10629, time=2121.2832156249997, tpt=7.19318804302341
64 bytes, cycles=8989.69389, time=2809.279340625, tpt=21.726268145488543
256 bytes, cycles=8055.40135, time=2517.312921875, tpt=96.98461517376785
1024 bytes, cycles=11449.41687, time=3577.9427718749994, tpt=272.939664568262
4096 bytes, cycles=11986.38304, time=3745.7447, tpt=1042.8500372702922
65536 bytes, cycles=35494.68068, time=11092.087712499999, tpt=5634.647112424735
262144 bytes, cycles=112590.95763, time=35184.674259375, tpt=7105.366335269885
524288 bytes, cycles=223461.88485, time=69831.839015625, tpt=7160.057747986904
